Dato,Event,Aldersgruppe,Region,Nye indlagte,Kumulative nye indlagte,Indlagte per dag
24-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
24-02-2020,Hospitalised,60+,Nordjylland,0,0,0
24-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
24-02-2020,Hospitalised,60+,Midtjylland,0,0,0
24-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
24-02-2020,Hospitalised,60+,Syddanmark,0,0,0
24-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
24-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
24-02-2020,Hospitalised,0-59,Zealand,0,0,0
24-02-2020,Hospitalised,60+,Zealand,0,0,0
25-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
25-02-2020,Hospitalised,60+,Nordjylland,0,0,0
25-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
25-02-2020,Hospitalised,60+,Midtjylland,0,0,0
25-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
25-02-2020,Hospitalised,60+,Syddanmark,0,0,0
25-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
25-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
25-02-2020,Hospitalised,0-59,Zealand,0,0,0
25-02-2020,Hospitalised,60+,Zealand,0,0,0
26-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
26-02-2020,Hospitalised,60+,Nordjylland,0,0,0
26-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
26-02-2020,Hospitalised,60+,Midtjylland,0,0,0
26-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
26-02-2020,Hospitalised,60+,Syddanmark,0,0,0
26-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
26-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
26-02-2020,Hospitalised,0-59,Zealand,0,0,0
26-02-2020,Hospitalised,60+,Zealand,0,0,0
27-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
27-02-2020,Hospitalised,60+,Nordjylland,0,0,0
27-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
27-02-2020,Hospitalised,60+,Midtjylland,0,0,0
27-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
27-02-2020,Hospitalised,60+,Syddanmark,0,0,0
27-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
27-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
27-02-2020,Hospitalised,0-59,Zealand,0,0,0
27-02-2020,Hospitalised,60+,Zealand,0,0,0
28-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
28-02-2020,Hospitalised,60+,Nordjylland,0,0,0
28-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
28-02-2020,Hospitalised,60+,Midtjylland,0,0,0
28-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
28-02-2020,Hospitalised,60+,Syddanmark,0,0,0
